Lat (DD),Long (DD),Depth
50.399182561,-003.512688676,3.70200
50.399170414,-003.512670857,3.79300
50.399175972,-003.512644730,3.75700
50.399166804,-003.512617229,3.87900
50.399167721,-003.512588122,3.97200
50.399184509,-003.512562053,4.31800
50.399186113,-003.512264115,3.86400
50.399182675,-003.512229737,3.84100
50.399168753,-003.512200746,3.63300
50.399170701,-003.512179088,3.26700
50.399184452,-003.512157946,3.21800
50.399188004,-003.510766116,4.47600
50.399178665,-003.510742969,4.37500
50.399180727,-003.510734833,4.38500
50.399189264,-003.510681261,4.40500
50.399189608,-003.510680631,4.40300
50.399188634,-003.510513442,4.44200
50.399176258,-003.510484622,4.38600
50.399191442,-003.510456662,4.32200
50.399190353,-003.510429962,4.27700
50.399189150,-003.510399882,4.24100
50.399189035,-003.510398106,4.23900
50.399186973,-003.510347055,4.23300
50.399193161,-003.510316115,4.19700
50.399194822,-003.510289015,4.16100
50.399189264,-003.510264721,4.16400
50.399180785,-003.510230974,4.10300
50.399188176,-003.510211608,4.04600
50.399185139,-003.510175225,3.78200
50.399178607,-003.510147093,3.75100
50.399192931,-003.510121367,3.60000
50.399178092,-003.510091745,3.52000
50.399191327,-003.510063556,3.45700
50.399195452,-003.510036397,3.41600
50.399195739,-003.510006489,3.34200
50.399189264,-003.509979503,3.26500
50.399183879,-003.509973773,3.26500
50.399196025,-003.509946844,3.39800
50.399193275,-003.509920488,3.42300
50.399182962,-003.509890923,3.45000
50.399182618,-003.509837123,3.38700
50.399182274,-003.509831164,3.37100
50.399194593,-003.513975425,-1.66200
50.399190697,-003.513947923,-2.15500
50.399195166,-003.513939730,-2.34400
50.399188863,-003.513916181,-1.91600
50.399179696,-003.513885642,-1.53500
50.399189780,-003.513860948,-0.21600
50.399179467,-003.513825711,0.46800
50.399185712,-003.513798381,1.13000
50.399180498,-003.513752831,1.34200
50.399180441,-003.513744294,1.79700
50.399179925,-003.513720000,1.93500
50.399180441,-003.513689404,2.06400
50.399180842,-003.513663908,2.20300
50.399181128,-003.513634973,2.35400
50.399180727,-003.513606612,2.50100
50.399181701,-003.513567479,2.21400
50.399186801,-003.513551494,2.64500
50.399187546,-003.513507662,2.68600
50.399182446,-003.513468185,2.59400
50.399181186,-003.513465149,2.59900
50.399198718,-003.513439022,2.72200
50.399197057,-003.513409973,2.94900
50.399198833,-003.513382700,3.18800
50.399191556,-003.513354568,3.39900
50.399187259,-003.513324258,3.39100
50.399184853,-003.513283693,3.40100
50.399183478,-003.513263582,3.46100
50.399182561,-003.513240549,3.56200
50.399184222,-003.513209724,3.60400
50.399184394,-003.513173914,3.57200
50.399183707,-003.513137474,3.39300
50.399182504,-003.513126531,3.43300
50.399182790,-003.513075022,3.35500
50.399183363,-003.513046775,3.06400
50.399183019,-003.513020591,2.94800
50.399184165,-003.512993891,2.60300
50.399192129,-003.512974754,2.66700
50.399198031,-003.512716694,3.79400
50.399201297,-003.512695666,3.66200
50.399193848,-003.512678707,3.80300
50.399184623,-003.512645705,4.00200
50.399184853,-003.512599753,4.29300
50.399202385,-003.512567496,4.37800
50.399202385,-003.512543489,4.12100
50.399202041,-003.512537759,4.10000
50.399204104,-003.512285543,3.82500
50.399191671,-003.512275688,3.65100
50.399199291,-003.512229222,3.72900
50.399201526,-003.512227961,3.75500
50.399191270,-003.512172785,3.49500
50.399189551,-003.512150497,3.06000
50.399194249,-003.512144080,3.03000
50.399210464,-003.510789837,4.42000
50.399204849,-003.510738786,4.43200
50.399193390,-003.510717988,4.42400
50.399193390,-003.510684527,4.43100
50.399203073,-003.510655020,4.40500
50.399211151,-003.510647743,4.38600
50.399202099,-003.510504160,4.31700
50.399196484,-003.510456375,4.30700
50.399195624,-003.510438098,4.27400
50.399200380,-003.510400512,4.25400
50.399200323,-003.510399595,4.25200
50.399212584,-003.510353873,4.23000
50.399196140,-003.510316115,4.21100
50.399209834,-003.510287468,4.15500
50.399212928,-003.510267930,4.10700
50.399201125,-003.510242777,4.06400
50.399212412,-003.510203415,3.95600
50.399212985,-003.510175913,3.83200
50.399213443,-003.510147437,3.74700
50.399206224,-003.510119190,3.58300
50.399207771,-003.510104637,3.49600
50.399198088,-003.510062410,3.47900
50.399211381,-003.510034621,3.33700
50.399206797,-003.510006031,3.29500
50.399209203,-003.509990389,3.23700
50.399212870,-003.509977325,3.32000
50.399206969,-003.509946730,3.35600
50.399208401,-003.509921004,3.40700
50.399214245,-003.509892585,3.47700
50.399206224,-003.509837466,3.39300
50.399205594,-003.509829560,3.36700
50.399209203,-003.513974107,-2.01100
50.399204161,-003.513945975,-2.38700
50.399203416,-003.513936464,-2.44800
50.399204505,-003.513905982,-1.97700
50.399201411,-003.513888622,-1.06700
50.399202901,-003.513839691,-0.20500
50.399199005,-003.513821987,0.49800
50.399200437,-003.513804684,1.60800
50.399198776,-003.513776494,1.81000
50.399198031,-003.513746013,1.90800
